Time,VJID
06:00,7381
06:50,23
07:15,12
07:30:00s,9
07:40,26
07:50:00v,37
07:52:00s,43
07:55:00n,45
08:10,3783
08:30,63
08:55,49
09:20,76
09:40,1586
10:00,28
10:30,109
11:00,101
11:20,91
11:25,112
11:50,78
12:10,142
12:30,30
12:50,147
12:55,140
13:05,138
13:10,3787
13:30,103
13:50,93
14:10,118
14:30,133
14:50,18
14:55,115
