TIMESTAMP,BusNo,JPID,VJID,Conjestion,Longitude,Latitude,Delay,BlockID,StopID,AtStop
2013-01-14 00:34:14,41,null,11474,0,-6.252133,53.373135,75,41004,4957,0
2013-01-14 00:34:14,41,null,11474,0,-6.253517,53.370998,75,41004,4957,0
2013-01-14 00:35:14,41,null,11474,0,-6.254683,53.369083,75,41004,4957,0
2013-01-14 00:35:14,41,null,11474,0,-6.2553,53.367783,75,41004,4957,0
2013-01-14 00:35:14,41,null,11474,0,-6.2559,53.365685,75,41004,4957,0
2013-01-14 00:36:14,41,null,11474,0,-6.257767,53.363415,75,41004,4957,0
2013-01-14 00:36:14,41,null,11474,0,-6.259767,53.361149,75,41004,4957,0
2013-01-14 00:36:14,41,null,11474,0,-6.259517,53.360065,75,41004,4957,0
2013-01-14 00:37:14,41,null,11474,0,-6.258917,53.359482,75,41004,4957,0
2013-01-14 00:37:14,41,null,11474,0,-6.25815,53.358734,75,41004,4957,0
2013-01-14 00:37:14,41,null,11474,0,-6.2572,53.35775,75,41004,4957,0
2013-01-14 00:38:14,41,null,11474,0,-6.2567,53.357216,75,41004,4957,0
2013-01-14 00:38:14,41,null,11474,0,-6.25525,53.355865,75,41004,4957,0
2013-01-14 00:38:14,41,null,11474,0,-6.25525,53.355865,75,41004,4957,0
2013-01-14 00:39:14,41,null,11474,0,-6.254533,53.355301,75,41004,4957,0
2013-01-14 06:00:14,41,411001,4,0,-6.250404,53.459583,0,41001,4843,1
2013-01-14 06:00:14,41,null,3550,0,-6.254617,53.34935,0,41003,288,0
2013-01-14 06:00:14,41,410001,7,0,-6.223248,53.459564,-799,41002,3679,0
2013-01-14 06:00:14,41,null,12,0,-6.224867,53.452282,0,41004,null,0
2013-01-14 06:00:14,41,411001,4,0,-6.248335,53.459911,0,41001,4843,0
2013-01-14 06:00:14,41,null,144,0,-6.218383,53.425884,0,41005,null,0
2013-01-14 06:00:14,41,null,3550,0,-6.254117,53.35025,0,41003,288,0
2013-01-14 06:00:14,41,410001,7,0,-6.224726,53.460163,-799,41002,5075,0
2013-01-14 06:00:14,41,null,12,0,-6.224867,53.452251,0,41004,null,0
2013-01-14 06:00:14,41,411001,4,0,-6.250257,53.459606,39,41001,4843,0
2013-01-14 06:00:14,41,null,144,0,-6.216733,53.428932,0,41005,null,0
2013-01-14 06:00:14,41,null,3550,0,-6.254533,53.350834,0,41003,288,0
2013-01-14 06:00:14,41,null,12,0,-6.2249,53.452267,0,41004,null,0
2013-01-14 06:00:14,41,null,144,0,-6.216733,53.428932,0,41005,null,0
2013-01-14 06:00:14,41,410001,7,0,-6.227832,53.461086,-799,41002,5075,0
2013-01-14 06:01:14,41,411001,4,0,-6.243961,53.459759,4,41001,4905,0
2013-01-14 06:01:14,41,null,144,0,-6.21465,53.431934,0,41005,null,0
2013-01-14 06:01:14,41,410001,7,0,-6.231976,53.462414,-834,41002,3682,0
2013-01-14 06:01:14,41,null,12,0,-6.2249,53.452267,0,41004,null,0
2013-01-14 06:01:14,41,411001,4,0,-6.24192,53.45977,4,41001,4905,0
2013-01-14 06:01:14,41,null,144,0,-6.2121,53.434616,0,41005,null,0
2013-01-14 06:01:14,41,410001,7,0,-6.235347,53.464916,-851,41002,3864,0
2013-01-14 06:01:14,41,null,12,0,-6.2249,53.452267,0,41004,null,0
2013-01-14 06:01:14,41,411001,4,0,-6.241327,53.460514,4,41001,4906,1
2013-01-14 06:01:14,41,null,144,0,-6.209417,53.437599,0,41005,null,0
2013-01-14 06:01:14,41,null,3781,0,-6.255172,53.351791,-14,41003,1172,1
2013-01-14 06:01:14,41,null,144,0,-6.209417,53.437599,0,41005,null,0
2013-01-14 06:01:14,41,410001,7,0,-6.238411,53.466915,-851,41002,3865,0
2013-01-14 06:01:14,41,null,12,0,-6.2249,53.452232,0,41004,null,0
2013-01-14 06:02:14,41,411001,4,0,-6.240587,53.461483,4,41001,4906,0
2013-01-14 06:02:14,41,null,144,0,-6.207716,53.440468,0,41005,null,0
2013-01-14 06:02:14,41,410001,3781,0,-6.255172,53.351791,5,41003,1172,1
2013-01-14 06:02:14,41,410001,7,0,-6.239743,53.465904,-851,41002,4910,0
2013-01-14 06:02:14,41,null,12,0,-6.224916,53.452232,0,41004,null,0
2013-01-14 06:02:14,41,411001,4,0,-6.239434,53.46386,4,41001,4907,0
2013-01-14 06:02:14,41,null,144,0,-6.207317,53.442699,0,41005,null,0
2013-01-14 06:02:14,41,410001,3781,0,-6.255172,53.351791,24,41003,1172,1
2013-01-14 06:02:14,41,null,12,0,-6.224916,53.452232,0,41004,null,0
2013-01-14 06:02:14,41,410001,7,0,-6.239453,53.463066,-875,41002,4912,0
2013-01-14 06:02:14,41,411001,4,0,-6.239713,53.46574,4,41001,4909,1
2013-01-14 06:02:14,41,null,144,0,-6.209617,53.443333,0,41005,null,0
2013-01-14 06:02:14,41,410001,3781,0,-6.255172,53.351791,44,41003,1172,1
2013-01-14 06:02:14,41,null,144,0,-6.209617,53.443333,0,41005,null,0
2013-01-14 06:02:14,41,null,12,0,-6.224916,53.452232,0,41004,null,0
2013-01-14 06:02:14,41,410001,7,0,-6.241448,53.460346,-890,41002,4913,0
2013-01-14 06:03:14,41,411001,4,0,-6.239713,53.46574,4,41001,4909,1
2013-01-14 06:03:14,41,null,144,0,-6.213417,53.443718,0,41005,null,0
2013-01-14 06:03:14,41,410001,3781,0,-6.25582,53.352695,44,41003,1172,0
2013-01-14 06:03:14,41,410001,7,0,-6.242809,53.459557,-890,41002,4914,0
2013-01-14 06:03:14,41,null,12,0,-6.2249,53.452251,0,41004,null,0
2013-01-14 06:03:14,41,411001,4,0,-6.238904,53.466812,4,41001,4909,0
2013-01-14 06:03:14,41,null,144,0,-6.215567,53.444218,0,41005,null,0
2013-01-14 06:03:14,41,410001,3781,0,-6.256099,53.353104,44,41003,1172,0
2013-01-14 06:03:14,41,410001,7,0,-6.24676,53.460049,-890,41002,4915,0
2013-01-14 06:03:14,41,null,12,0,-6.2249,53.452267,0,41004,null,0
