Time,VJID
06:00,4
06:15,196
06:25,8
06:35,25
06:45,36
06:55:00a,
07:00,73
07:05:00d,3782
07:15,98
07:30:00d,88
07:40:00a,
07:50:00d,24
08:05:00d,6
08:20,13
08:30,198
08:45,27
09:10,46
09:30,3784
09:50,64
10:15,50
10:45,130
11:05,15
11:30,40
11:55,3786
12:15,102
12:35,92
12:45,
13:05,79
13:25,143
13:40,114
13:45,31
14:05,148
14:25,3788
14:45,104
